close_id,fund_id,fund_name,partner_id,close_number,scheduled_close_date,close_status,total_committed_aum
5682afc6-02b1-4dc8-8cf7-d4622108177f,12d0cc9f-8d99-418c-9407-249b524e297c,Stirling Private Equity Fund 2023,7461962f-aa90-4a34-a23e-6960a8b5104a,1,2026-11-02,upcoming,45070000
789f0b44-4d22-456e-bd0e-840382a0a45f,12d0cc9f-8d99-418c-9407-249b524e297c,Stirling Private Equity Fund 2023,7461962f-aa90-4a34-a23e-6960a8b5104a,2,2026-03-23,upcoming,185180000
a9762a93-f2e5-4df9-81d5-4a75e900da04,12d0cc9f-8d99-418c-9407-249b524e297c,Stirling Private Equity Fund 2023,7461962f-aa90-4a34-a23e-6960a8b5104a,3,2027-06-18,upcoming,311470000
016ef245-d721-451e-9be1-2ffd9eae51d8,12d0cc9f-8d99-418c-9407-249b524e297c,Stirling Private Equity Fund 2023,7461962f-aa90-4a34-a23e-6960a8b5104a,4,2027-11-01,upcoming,353910000
aba62397-1a33-4717-a6cf-45b51744289a,377d2532-fb99-4b58-a34c-fbda2981be2d,Hadley Growth Fund 2026,4c0360ad-cd78-4635-b3d9-b151eb23663d,1,2024-06-03,completed,387920000
d1d17dcd-af01-4255-9b6d-7b0e99856c4f,377d2532-fb99-4b58-a34c-fbda2981be2d,Hadley Growth Fund 2026,4c0360ad-cd78-4635-b3d9-b151eb23663d,2,2024-09-18,completed,490720000
fff84de7-bb93-476d-9a44-1ef9e79d6920,377d2532-fb99-4b58-a34c-fbda2981be2d,Hadley Growth Fund 2026,4c0360ad-cd78-4635-b3d9-b151eb23663d,3,2025-01-16,completed,272120000
78426c6e-9f38-4810-b1d7-78dde3a9854c,377d2532-fb99-4b58-a34c-fbda2981be2d,Hadley Growth Fund 2026,4c0360ad-cd78-4635-b3d9-b151eb23663d,4,2025-07-08,completed,241850000
ac27548a-ad66-42ca-8dad-2c19655f02f3,e7290626-eac1-4e4b-a360-3f24ea47d0f3,Hadley Buyout Fund 2026,4c0360ad-cd78-4635-b3d9-b151eb23663d,1,2023-11-28,completed,108850000
9d8f6e83-19c9-4954-8aaa-a9599b1f2a8c,e7290626-eac1-4e4b-a360-3f24ea47d0f3,Hadley Buyout Fund 2026,4c0360ad-cd78-4635-b3d9-b151eb23663d,2,2024-03-25,completed,163630000
cf607a09-75e1-4fd5-8e7b-1368f193b71b,e7290626-eac1-4e4b-a360-3f24ea47d0f3,Hadley Buyout Fund 2026,4c0360ad-cd78-4635-b3d9-b151eb23663d,3,2024-07-27,completed,254270000
ad514c9d-4797-4c46-914e-6937c8132130,e7290626-eac1-4e4b-a360-3f24ea47d0f3,Hadley Buyout Fund 2026,4c0360ad-cd78-4635-b3d9-b151eb23663d,4,2024-12-18,completed,142190000
